ID primera_version nota1 nota2 nota3 nota4 notajurado1 nota1 nota2 nota3 nota4 notajurado2 notatotalinicial notafinal
000-179-768 11.00 16.00 16.00 16.00 16.00 16.00 15.00 15.00 15.00 15.00 15.00 14.15 14.00
000-167-988 16.00 17.00 17.00 17.00 17.00 17.00 15.00 15.00 15.00 16.00 15.10 16.04 16.00
000-153-150 15.00 16.00 16.00 16.00 16.00 16.00 15.00 15.00 15.00 15.00 15.00 15.35 15.00
000-153-096 15.00 15.00 15.00 15.00 15.00 15.00 17.00 09.00 09.00 16.00 11.30 13.71 14.00
000-167-990 15.00 15.00 15.00 16.00 15.00 15.35 17.00 17.00 17.00 17.00 17.00 15.82 16.00
000-179-062 16.00 16.00 16.00 16.00 17.00 16.10 14.00 13.00 13.00 18.00 13.70 15.23 15.00
000-152-086 11.00 12.00 12.00 10.00 12.00 11.30 12.00 12.00 12.00 12.00 12.00 11.46 11.00
000-183-778 15.00 17.00 17.00 17.00 17.00 17.00 18.00 18.00 18.00 18.00 18.00 16.75 17.00
000-143-582 15.00 15.00 15.00 13.00 14.00 14.20 14.00 15.00 15.00 15.00 14.80 14.65 15.00
000-152-981 11.00 12.00 12.00 10.00 12.00 11.30 12.00 12.00 12.00 12.00 12.00 11.46 11.00
000-167-952 15.00 17.00 17.00 17.00 17.00 17.00 15.00 16.00 15.00 16.00 15.45 15.86 16.00
000-151-955 16.00 15.00 16.00 16.00 15.00 15.70 16.00 16.00 16.00 16.00 16.00 15.90 16.00
000-143-004 15.00 17.00 17.00 17.00 17.00 17.00 15.00 15.00 15.00 15.00 15.00 15.70 16.00
000-133-777 13.00 12.00 12.00 12.00 12.00 12.00 16.00 14.00 14.00 13.00 14.30 13.11 13.00
000-179-011 16.00 16.00 17.00 17.00 16.00 16.70 16.00 16.00 16.00 16.00 16.00 16.25 16.00
000-154-274 17.00 17.00 17.00 18.00 16.00 17.25 16.00 17.00 17.00 17.00 16.80 17.02 17.00
000-153-127 11.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 03.30 00.00
000-152-961 15.00 16.00 16.00 16.00 16.00 16.00 17.00 17.00 17.00 17.00 17.00 16.05 16.00
000-151-607 13.00 14.00 12.00 13.00 14.00 12.95 15.00 14.00 15.00 14.00 14.55 13.53 14.00
000-154-399 15.00 15.00 15.00 16.00 15.00 15.35 17.00 17.00 17.00 17.00 17.00 15.82 16.00
000-151-659 11.00 14.00 14.00 14.00 14.00 14.00 13.00 12.00 12.00 13.00 12.30 12.51 13.00
000-179-789 11.00 16.00 16.00 16.00 16.00 16.00 15.00 15.00 15.00 15.00 15.00 14.15 14.00
000-166-440 16.00 16.00 17.00 17.00 16.00 16.70 16.00 16.00 16.00 16.00 16.00 16.25 16.00
000-178-567 12.00 14.00 14.00 13.00 15.00 13.75 13.00 15.00 12.00 13.00 13.35 13.09 13.00
000-177-511 16.00 16.00 16.00 15.00 17.00 15.75 15.00 16.00 15.00 15.00 15.35 15.69 16.00
000-141-306 13.00 11.00 11.00 11.00 11.00 11.00 14.00 14.00 14.00 14.00 14.00 12.65 13.00
000-178-467 15.00 16.00 15.00 13.00 14.00 14.40 14.00 15.00 14.00 14.00 14.35 14.56 15.00
000-152-952 13.00 14.00 14.00 14.00 14.00 14.00 14.00 14.00 12.00 12.00 13.10 13.39 13.00
000-167-900 15.00 16.00 16.00 16.00 16.00 16.00 15.00 15.00 15.00 15.00 15.00 15.35 15.00
000-153-221 13.00 14.00 12.00 13.00 14.00 12.95 15.00 14.00 15.00 14.00 14.55 13.53 14.00
000-167-877 14.00 15.00 15.00 14.00 14.00 14.55 14.00 13.00 14.00 14.00 13.65 14.07 14.00
000-178-666 11.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 00.00 03.30 00.00
000-149-945 15.00 17.00 17.00 17.00 17.00 17.00 15.00 16.00 15.00 16.00 15.45 15.86 16.00
000-187-027 14.00 16.00 16.00 16.00 16.00 16.00 17.00 17.00 17.00 16.00 16.90 15.72 16.00
